Id,state,km,1_day_esp_00h_06hs,1_day_esp_06_12hs,1_day_esp_12_18,1_day_esp_18_24hs,1_day_total
3,SP,230,0,0,0,1,1
5,SP,228,2,2,1,1,6
6,SP,227,0,0,1,0,1
9,SP,224,0,0,1,0,1
10,SP,223,16,15,11,20,62
44,SP,189,0,0,1,1,2
45,SP,188,1,2,7,7,17
76,SP,157,1,1,3,3,8
82,SP,151,2,0,1,2,5
126,SP,107,1,3,6,3,13
127,SP,106,0,0,1,1,2
185,SP,48,1,0,1,2,4
221,SP,12,0,1,0,0,1
222,SP,11,3,2,6,3,14
226,SP,7,0,0,1,0,1
234,RJ,333,0,0,1,4,5
300,RJ,267,0,1,0,0,1
301,RJ,266,0,1,2,2,5
323,RJ,244,1,5,3,3,12
324,RJ,243,0,0,1,1,2
368,RJ,199,0,1,0,0,1
369,RJ,198,1,3,0,1,5
370,RJ,197,0,1,1,1,3
373,RJ,194,0,1,0,0,1
384,RJ,183,2,1,5,3,11
389,RJ,178,1,0,0,0,1
393,RJ,174,3,2,5,6,16
394,RJ,173,1,1,0,1,3
395,RJ,172,1,0,0,0,1
399,RJ,168,0,0,0,1,1
400,RJ,167,0,0,1,0,1
401,RJ,166,1,2,1,1,5
