Id,state,km,7_days_nro_smartphones
1,SP,232,8
2,SP,231,11
3,SP,230,1
4,SP,229,116
5,SP,228,9
6,SP,227,5
7,SP,226,27
9,SP,224,3
11,SP,222,4
12,SP,221,5
13,SP,220,4
14,SP,219,2
15,SP,218,1
16,SP,217,8
17,SP,216,8
18,SP,215,2
21,SP,212,3
22,SP,211,2
23,SP,210,3
24,SP,209,1
26,SP,207,2
37,SP,196,1
41,SP,192,1
42,SP,191,2
43,SP,190,1
44,SP,189,2
46,SP,187,1
48,SP,185,2
50,SP,183,2
51,SP,182,1
52,SP,181,4
54,SP,179,5
59,SP,174,6
60,SP,173,2
62,SP,171,11
65,SP,168,3
67,SP,166,2
68,SP,165,4
69,SP,164,2
71,SP,162,6
72,SP,161,2
74,SP,159,2
75,SP,158,5
76,SP,157,1
78,SP,155,1
79,SP,154,1
80,SP,153,1
81,SP,152,1
82,SP,151,1
83,SP,150,6
84,SP,149,1
85,SP,148,1
86,SP,147,9
87,SP,146,3
90,SP,143,1
92,SP,141,1
94,SP,139,1
95,SP,138,1
97,SP,136,2
101,SP,132,1
104,SP,129,1
110,SP,123,1
112,SP,121,2
113,SP,120,4
114,SP,119,1
115,SP,118,1
116,SP,117,1
118,SP,115,1
119,SP,114,3
127,SP,106,2
130,SP,103,3
133,SP,100,40
135,SP,98,1
137,SP,96,1
138,SP,95,1
139,SP,94,2
140,SP,93,1
141,SP,92,2
142,SP,91,2
144,SP,89,1
150,SP,83,1
154,SP,79,1
166,SP,67,1
170,SP,63,1
171,SP,62,1
174,SP,59,1
175,SP,58,2
178,SP,55,2
180,SP,53,1
193,SP,40,93
195,SP,38,2
199,SP,34,1
200,SP,33,1
214,SP,19,1
216,SP,17,1
222,SP,11,1
224,SP,9,2
225,SP,8,1
226,SP,7,1
227,SP,6,1
229,SP,4,1
235,RJ,332,2
241,RJ,326,1
244,RJ,323,2
249,RJ,318,2
255,RJ,312,1
257,RJ,310,1
264,RJ,303,1
265,RJ,302,1
270,RJ,297,93
276,RJ,291,1
290,RJ,277,1
291,RJ,276,1
293,RJ,274,1
297,RJ,270,1
303,RJ,264,1
304,RJ,263,1
309,RJ,258,1
310,RJ,257,1
320,RJ,247,1
325,RJ,242,2
326,RJ,241,7
330,RJ,237,1
332,RJ,235,1
342,RJ,225,12
354,RJ,213,3
359,RJ,208,2
361,RJ,206,1
367,RJ,200,2
381,RJ,186,1
387,RJ,180,1
389,RJ,178,3
390,RJ,177,1
391,RJ,176,5
392,RJ,175,3
397,RJ,170,3
398,RJ,169,2
400,RJ,167,3
