Id,state,km,day_nro_smartphones
1,SP,232,2
2,SP,231,5
3,SP,230,4
4,SP,229,95
5,SP,228,1
6,SP,227,2
7,SP,226,7
8,SP,225,6
9,SP,224,4
10,SP,223,1
11,SP,222,12
12,SP,221,1
13,SP,220,1
14,SP,219,1
16,SP,217,2
18,SP,215,3
19,SP,214,2
21,SP,212,7
22,SP,211,1
30,SP,203,1
31,SP,202,1
38,SP,195,1
40,SP,193,1
41,SP,192,4
46,SP,187,1
47,SP,186,2
51,SP,182,3
53,SP,180,2
54,SP,179,2
60,SP,173,1
63,SP,170,1
66,SP,167,6
67,SP,166,1
68,SP,165,1
74,SP,159,3
75,SP,158,2
76,SP,157,1
77,SP,156,1
79,SP,154,1
80,SP,153,3
83,SP,150,1
87,SP,146,4
90,SP,143,2
93,SP,140,1
95,SP,138,2
97,SP,136,1
100,SP,133,1
101,SP,132,1
102,SP,131,1
103,SP,130,1
107,SP,126,1
115,SP,118,1
116,SP,117,1
126,SP,107,2
128,SP,105,2
129,SP,104,1
133,SP,100,2
135,SP,98,1
136,SP,97,1
139,SP,94,2
140,SP,93,1
141,SP,92,1
142,SP,91,1
144,SP,89,6
146,SP,87,1
154,SP,79,1
161,SP,72,1
162,SP,71,1
164,SP,69,1
166,SP,67,1
177,SP,56,1
178,SP,55,1
180,SP,53,1
188,SP,45,1
189,SP,44,1
193,SP,40,95
194,SP,39,1
206,SP,27,1
211,SP,22,3
214,SP,19,1
217,SP,16,2
219,SP,14,1
222,SP,11,1
224,SP,9,3
225,SP,8,1
230,SP,3,1
232,SP,1,1
237,RJ,330,1
238,RJ,329,2
241,RJ,326,1
243,RJ,324,1
244,RJ,323,1
245,RJ,322,1
246,RJ,321,1
247,RJ,320,2
253,RJ,314,1
257,RJ,310,2
259,RJ,308,1
263,RJ,304,1
265,RJ,302,2
268,RJ,299,1
270,RJ,297,93
271,RJ,296,1
272,RJ,295,1
276,RJ,291,2
278,RJ,289,1
280,RJ,287,1
281,RJ,286,1
285,RJ,282,1
290,RJ,277,1
293,RJ,274,1
294,RJ,273,1
297,RJ,270,1
298,RJ,269,1
301,RJ,266,1
303,RJ,264,1
307,RJ,260,1
310,RJ,257,1
312,RJ,255,2
313,RJ,254,1
322,RJ,245,1
324,RJ,243,1
325,RJ,242,1
330,RJ,237,1
351,RJ,216,5
358,RJ,209,2
362,RJ,205,1
369,RJ,198,1
370,RJ,197,1
382,RJ,185,2
383,RJ,184,1
386,RJ,181,1
389,RJ,178,16
391,RJ,176,2
392,RJ,175,2
393,RJ,174,2
395,RJ,172,2
396,RJ,171,2
398,RJ,169,1
399,RJ,168,5
403,RJ,164,5
