Id,state,km,esp_00h_06hs,esp_06_12hs,esp_12_18,esp_18_24hs,day_total
1,SP,232,0,1,0,0,1
3,SP,230,0,0,1,0,1
4,SP,229,0,0,1,1,2
5,SP,228,1,0,0,1,2
6,SP,227,0,0,1,0,1
7,SP,226,0,1,0,1,2
10,SP,223,8,4,7,17,36
22,SP,211,0,0,0,1,1
44,SP,189,1,0,0,1,2
45,SP,188,1,1,4,11,17
52,SP,181,0,0,0,1,1
56,SP,177,1,0,0,0,1
57,SP,176,0,1,6,7,14
76,SP,157,0,1,4,5,10
82,SP,151,1,0,2,3,6
84,SP,149,0,0,1,0,1
126,SP,107,1,0,4,0,5
185,SP,48,0,0,2,3,5
193,SP,40,1,0,0,0,1
222,SP,11,1,0,3,1,5
234,RJ,333,1,2,0,0,3
322,RJ,245,0,1,0,0,1
323,RJ,244,1,2,1,1,5
324,RJ,243,0,0,0,2,2
325,RJ,242,1,0,0,0,1
369,RJ,198,1,2,1,3,7
370,RJ,197,0,1,0,0,1
373,RJ,194,0,0,2,1,3
384,RJ,183,1,2,2,1,6
393,RJ,174,2,2,4,8,16
394,RJ,173,0,1,0,0,1
397,RJ,170,0,1,1,1,3
399,RJ,168,0,1,0,0,1
400,RJ,167,0,1,0,0,1
401,RJ,166,0,1,0,1,2
402,RJ,165,0,1,0,0,1
