Id,state,km,1_day_nro_smartphones
1,SP,232,3
2,SP,231,4
3,SP,230,1
4,SP,229,96
5,SP,228,3
6,SP,227,3
7,SP,226,8
8,SP,225,1
9,SP,224,3
10,SP,223,2
12,SP,221,2
13,SP,220,1
15,SP,218,2
17,SP,216,2
20,SP,213,2
21,SP,212,1
22,SP,211,2
23,SP,210,3
24,SP,209,1
27,SP,206,1
31,SP,202,1
37,SP,196,2
40,SP,193,1
41,SP,192,2
42,SP,191,2
47,SP,186,1
51,SP,182,1
53,SP,180,2
54,SP,179,2
57,SP,176,7
65,SP,168,1
69,SP,164,3
71,SP,162,1
75,SP,158,1
76,SP,157,1
77,SP,156,1
78,SP,155,1
84,SP,149,2
85,SP,148,1
87,SP,146,4
88,SP,145,1
89,SP,144,1
94,SP,139,1
97,SP,136,3
100,SP,133,1
113,SP,120,2
125,SP,108,1
133,SP,100,1
136,SP,97,7
141,SP,92,1
142,SP,91,1
143,SP,90,2
144,SP,89,2
147,SP,86,1
148,SP,85,2
150,SP,83,1
152,SP,81,1
158,SP,75,1
166,SP,67,1
171,SP,62,1
173,SP,60,2
174,SP,59,1
175,SP,58,1
178,SP,55,1
179,SP,54,1
189,SP,44,1
193,SP,40,94
195,SP,38,1
211,SP,22,1
215,SP,18,1
219,SP,14,1
222,SP,11,1
227,SP,6,1
233,SP,0,1
238,RJ,329,1
244,RJ,323,1
245,RJ,322,1
246,RJ,321,2
261,RJ,306,1
266,RJ,301,2
270,RJ,297,94
271,RJ,296,1
284,RJ,283,1
287,RJ,280,1
288,RJ,279,1
291,RJ,276,10
297,RJ,270,1
300,RJ,267,1
303,RJ,264,1
306,RJ,261,1
309,RJ,258,2
312,RJ,255,2
314,RJ,253,1
320,RJ,247,1
323,RJ,244,1
326,RJ,241,2
328,RJ,239,1
329,RJ,238,1
332,RJ,235,1
334,RJ,233,1
348,RJ,219,1
360,RJ,207,1
364,RJ,203,1
368,RJ,199,4
379,RJ,188,2
382,RJ,185,2
392,RJ,175,12
398,RJ,169,7
400,RJ,167,3
401,RJ,166,1
402,RJ,165,1
